Postingan,Kategori Pekerjaan
Dicari tukang kayu berpengalaman dengan keahlian khusus dalam mengolah kayu jati dan mahoni untuk proyek pembangunan rumah kayu yang menonjolkan keindahan dan kekuatan material.,Tukang Kayu
Bergabunglah dalam proyek renovasi kami! Kami mencari tukang batu berpengalaman untuk pemilihan material dan pengaturan batuan pada trotoar dan jalan. Pengalaman terkait diutamakan.,Tukang Batu
"Mesin cuci kami sedang mengalami beberapa masalah, seperti kipas berputar sangat lambat, koneksi listrik bermasalah, dan perangkat berbunyi tidak normal. Kami telah memeriksa dan mengetahui bahwa semua kerusakan ini disebabkan oleh kesalahan peralatan elektronik.",Servis Mesin Cuci
Sound system kami telah mengalami kerusakan pada audio dan juga portixol keran. Terdengar distorsion pada sound serta ada penurunan efek suara dari volume yang ada. Kami perlu bantuan dari teknisi elektronik yang bisa menangani masalah ini.,Servis Soundsystem
"Kami mencari teknisi komputer yang mahir dalam memperbaiki perangkat lunak, termasuk identifikasi dan penanganan masalah pada sistem operasi, aplikasi, dan komponen perangkat lunak lainnya.",Service Perangkat keras
"Terdapat smart TV saya yang mengalami masalah; layar mati tanpa tanda-tanda sebelumnya. Saya sedang mencari teknisi elektronik yang ahli untuk memeriksa dan memperbaiki televisi ini. Jika Anda memiliki keterampilan dalam servis TV dan dapat membantu, mohon segera menghubungi saya.",Servis Televisi
"Lowongan pekerjaan untuk tukang batu dengan keahlian seni ukir batuan untuk proyek restorasi bangunan bersejarah di Jawa Tengah. Kami mencari individu yang tidak hanya mahir dalam seni ukir batuan, tetapi juga memiliki minat dan pengetahuan tentang sejarah dan nilai-nilai budaya. Pengalaman sebelumnya dalam proyek restorasi menjadi keuntungan.",Tukang Batu
"TV digital saya mengalami masalah di mana layar hanya menampilkan gambar blank hitam tanpa suara, meskipun kontrol remote berfungsi dengan normal. Saya sedang mencari teknisi elektronik berpengalaman yang mampu memeriksa dan memperbaiki masalah ini. Jika Anda memiliki keahlian dalam servis TV digital, harap segera hubungi saya.",Servis Televisi
"Kesempatan bagi tukang batu yang memiliki minat dalam konstruksi bangunan berkelanjutan. Kualifikasi termasuk pengetahuan tentang bahan-bahan ramah lingkungan, kemampuan untuk merancang struktur batu yang efisien energi, dan pemahaman tentang praktik konstruksi berkelanjutan. Pelamar yang memiliki sertifikasi hijau akan mendapatkan perhatian lebih.",Tukang Batu
"Mesin cuci saya mengalami masalah serius, di mana saat ini mesin tidak dapat beroperasi sama sekali. Kondisi ini sudah berlangsung selama seminggu terakhir. Saya mencari teknisi elektronik yang memiliki keahlian dalam servis mesin cuci untuk segera memeriksa dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang diperlukan.",Servis Mesin Cuci
"Kami mencari teknisi elektronik yang memiliki pengalaman dalam servis TV. Saat ini TV digital kami mengalami masalah teknis. Setiap kali kami mencoba menyalakannya, layar televisi menampilkan gambar yang tidak stabil dan tidak ada suara yang terdengar. Kami sudah melakukan beberapa langkah pemecahan masalah dasar, namun belum berhasil memperbaikinya.",Servis Televisi
"Mesin cuci saya terasa berat sekali saat ditingkatkan ke putaran, dan jarum sudah tidak lagi berputar. Akibatnya, mesin cuci tidak mampu untuk mencuci pakaian. Saya membutuhkan teknisi elektronik untuk menganalisa dan memperbaiki masalah ini.",Servis Mesin Cuci
Dicari teknisi komputer berpengalaman yang siap memberikan layanan panggilan untuk perbaikan dan maintenance perangkat keras.,Service Perangkat keras
"Kami mencari teknisi komputer yang berfokus pada perangkat lunak dengan kemampuan untuk mendokumentasikan proses dan kebijakan. Jika Anda memiliki pengalaman dalam menyusun pedoman pengguna, mengembangkan dokumentasi teknis, dan memberikan pelatihan terkait aplikasi, kami mengajak Anda untuk mengirimkan lamaran.",Service Perangkat lunak
Kami mencari teknisi komputer yang memiliki keahlian dalam merencanakan dan melaksanakan strategi pemulihan bencana untuk menjaga keberlanjutan operasional sistem IT.,Service Sistem
Lowongan teknisi komputer kami terbuka untuk individu yang dapat merancang dan mengelola solusi data lake untuk menyimpan dan mengelola volume data besar dengan efisiensi.,Service Data
"Perusahaan kami mencari teknisi komputer yang ahli dalam mengelola data streaming real-time, termasuk implementasi solusi untuk analisis dan pemrosesan data secara instan.",Service Data
Lowongan teknisi komputer kami terbuka untuk individu yang mahir dalam pemrosesan data besar (big data) dan dapat memanfaatkan alat-alat analisis untuk menghasilkan wawasan yang berharga.,Service Data
Sound system band kami mengalami kerusakan mendesak karena kami akan tampil dalam seminggu mendatang. Terdapat masalah serius pada output suara yang menghasilkan distorsi dan ketidakjelasan saat digunakan. Kami membutuhkan teknisi elektronik yang terampil dan responsif untuk segera memeriksa serta memperbaiki sound system ini agar kami dapat tampil dengan baik. Mohon segera hubungi kami jika Anda memiliki keahlian yang dibutuhkan.,Servis Soundsystem
"Lowongan teknisi komputer kami terbuka bagi individu yang dapat merancang dan mengimplementasikan kebijakan keamanan data yang kuat, termasuk pemulihan bencana dan perlindungan privasi informasi.",Service Keamanan
"Kesempatan bagi tukang semen dan cor yang memiliki pengalaman minimal 4 tahun dalam proyek pembangunan apartemen. Kualifikasi mencakup pengecoran lantai dan dinding untuk struktur bertingkat, pemahaman tentang regulasi konstruksi apartemen, dan kemampuan untuk bekerja dalam tim proyek skala besar.",Tukang Semen
"Kami sedang mencari teknisi komputer yang ahli dalam perangkat lunak, khususnya dalam pemeliharaan rutin, debugging, dan mengelola aplikasi perusahaan. Jika Anda memiliki pengetahuan mendalam tentang sistem operasi dan dapat memberikan solusi inovatif untuk permasalahan perangkat lunak, kirimkan lamaran Anda segera.",Service Perangkat lunak
"Televisi saya yang berjenis digital mengalami kerusakan pada sistem suaranya. Meskipun gambar masih normal, suara tidak ada. Saya membutuhkan seorang teknisi elektronik untuk memperbaiki televisi saya.",Servis Televisi
"Dibutuhkan tukang cat bangunan yang memiliki keahlian dalam teknik trompe-l'oeil untuk proyek dekoratif. Kualifikasi mencakup kreativitas dalam menciptakan ilusi optik, kemampuan menghasilkan detail realistis, dan keahlian dalam menerapkan teknik ini pada dinding dan plafon.",Tukang Cat
"Kulkas saya mengalami masalah dengan thermostat yang mengganggu pengaturan suhu. Saya sedang mencari teknisi elektronik yang memiliki keahlian dalam servis kulkas untuk memeriksa dan memperbaiki masalah ini. Jika Anda memiliki keterampilan yang diperlukan, mohon segera hubungi saya.",Servis Kulkas
"Kami sedang mencari tukang cat bangunan yang memiliki keahlian dalam pengerjaan lantai epoxy. Kualifikasi melibatkan pemahaman tentang proses aplikasi epoxy, kemampuan menciptakan efek desain, dan pengalaman dalam melapisi lantai dengan tampilan yang tahan lama.",Tukang Cat
"Saat ini, mesin cuci saya mengalami masalah yang mengganggu fungsi operasionalnya. Mesin cuci ini tampaknya mengalami kesulitan saat berputar pada siklus pencucian. Masalah ini telah terjadi selama 3 hari. Saya sedang mencari teknisi elektronik yang ahli dalam memperbaiki mesin cuci. Jika Anda memiliki keahlian dan pengalaman dalam servis mesin cuci, mohon untuk segera menghubungi saya.",Servis Mesin Cuci
Lowongan teknisi komputer kami terbuka bagi mereka yang memiliki keahlian dalam merancang dan mengimplementasikan solusi pengelolaan data yang efisien dan andal.,Service Data
Saya sedang mencari dan memanggil teknisi elektronik untuk memperbaiki kulkas dan freezer di restoran tempat saya bekerja. Kami telah mengalami masalah dengan kedua mesin ini selama beberapa minggu terakhir. Kerusakannya telah menghambat kami dalam menyimpan bahan-bahan makanan dan mengacaukan operasi restoran. Kami berharap ada teknisi yang bisa datang secepatnya untuk memperbaiki masalah ini dan membantu kami,Servis Kulkas
"Kami membutuhkan bantuan seorang ahli service AC untuk memperbaiki AC yang bermasalah di tempat kantor kami. Beberapa AC mengalami masalah pada pendinginannya, suhu udara yang dihasilkan sangat panas, banyaknya asap yang keluar, serta berisik saat bekerja.",Servis AC
Kami mencari teknisi komputer yang memiliki kemampuan dalam mendesain dan mengoptimalkan basis data untuk mendukung kebutuhan analisis dan pelaporan perusahaan.,Service Data
Merek dagang beberapa AC di tempat saya bekerja telah rusak dan memerlukan perbaikan. Mereka terdiri dari jenis AC split dan AC window yang beragam kondisi dan usia. Ini adalah proyek yang bagus bagi seorang tukang AC yang handal karena butuh kerja dan pemahaman yang kompeten untuk memperbaiki unit.,Servis AC
"Kami mencari beberapa tukang cat profesional untuk proyek pengecatan gedung bertingkat. Kualifikasi mencakup pemahaman tentang jenis-jenis cat dan kemampuan mencampurkan warna untuk mencapai hasil yang diinginkan. Keahlian khusus dalam pengecatan faux finish, seperti teknik marmerisasi dan patina, akan dipertimbangkan. Niat kuat, kemampuan bekerja sama, dan kesiapan untuk ditempatkan di berbagai lokasi proyek menjadi nilai tambah.",Tukang Cat
"TV digital saya mengalami masalah dimana layar tidak menampilkan gambar, hanya terdengar suara, meskipun kontrol remote berfungsi dengan normal. Saya mencari teknisi elektronik yang berkemampuan untuk memeriksa dan memperbaiki masalah ini. Jika Anda memiliki keahlian dalam servis TV digital, harap segera hubungi saya.",Servis Televisi
Saya memiliki tv digital yang mengalami kerusakan. Masalah yang dialami adalah tidak ada output gambar/suara. Tv ini sudah mengalami masalah ini selama kurang lebih satu bulan. Saya mencari dan membutuhkan bantuan seorang teknisi elektronik yang bisa melakukan servis untuk televisi ini.,Servis Televisi
"Proyek flyover kami mencari tukang semen berpengalaman untuk bergabung dengan tim kami. Jika Anda memiliki pengalaman dalam penyemenan proyek-proyek serupa, inilah kesempatan Anda. Tidak ada batasan pengalaman yang disyaratkan, yang terpenting adalah komitmen untuk memberikan yang terbaik.",Tukang Semen
"Bergabunglah dengan proyek kami! Kami mencari tukang batu berpengalaman dalam membuat pondasi alami dengan batu-batu alam untuk gedung, rumah besar, jembatan, dan bangunan besar lainnya. Pengalaman lebih dari 10 tahun diutamakan.",Tukang Batu
"Kami mencari tukang cat berbakat untuk proyek furnitur. Kualifikasi: pengalaman dalam menangani material berbeda, kemampuan detail tinggi, dan keterampilan pewarnaan yang presisi.",Tukang Cat
"Kami membuka peluang bagi tukang semen berpengalaman untuk bergabung dengan proyek inovatif kami. Kami mencari individu dengan keinginan kuat untuk berkolaborasi dalam pengembangan campuran beton yang tahan lama. Pengalaman proyek jembatan, flyover, dan gedung bertingkat dihargai, tanpa persyaratan minimal. Niat dan semangat bekerja sama sangat diutamakan.",Tukang Semen
"Kami membuka peluang bagi tukang semen dan cor yang berpengalaman di proyek pembangunan perumahan. Kualifikasi termasuk setidaknya 1 tahun pengalaman dalam pengecoran pondasi dan struktur rumah, pemahaman tentang desain dan rencana bangunan, serta kemampuan untuk bekerja dalam tim konstruksi perumahan.",Tukang Semen
"Kesempatan menarik bagi tukang batu alam yang tertarik pada proyek pembangunan rekreasi dan taman. Kualifikasi mencakup pemahaman tentang desain lanskap, kemampuan untuk mengintegrasikan batu alam dengan elemen-elemen taman, dan kreativitas dalam menciptakan ruang hijau yang menarik.",Tukang Batu
"Kami sedang mencari teknisi komputer yang ahli dalam perangkat lunak untuk memperkuat tim kami. Jika Anda memiliki keahlian dalam mengatasi masalah perangkat lunak, konfigurasi sistem operasi, dan memahami berbagai aplikasi, kami ingin mendengar lebih lanjut tentang kualifikasi Anda.",Service Perangkat lunak
"Kami membuka kesempatan bagi teknisi komputer yang terampil untuk bergabung dengan tim kami dalam memberikan service perangkat keras. Jika Anda memiliki keahlian dalam memperbaiki motherboard, CPU, dan komponen lainnya, kami ingin mendengar dari Anda.",Service Perangkat keras
"Permasalahan saya dengan TV digital saya adalah layar tidak menyala, meski listrik dan antena telah terhubung dengan benar. TV juga tidak merespon sinyal apapun dan tidak ada tanda-tanda dari fungsi TV normal. Saya memerlukan teknisi yang bisa memperbaiki TV ini.",Servis Televisi
"Lowongan teknisi komputer kami terbuka bagi individu yang memiliki pengetahuan mendalam tentang keamanan jaringan, termasuk konfigurasi firewall dan perlindungan terhadap serangan DDoS.",Service Keamanan
"Kesempatan bagi tukang batu yang mengkhususkan diri dalam teknik struktural dan fondasi bangunan. Kualifikasi mencakup pengetahuan mendalam tentang beban struktural, analisis tanah, dan pengalaman dalam menangani proyek-proyek kompleks. Pelamar yang memiliki sertifikasi teknik struktural akan mendapatkan perhatian lebih.",Tukang Batu
"Kulkas saya telah mengalami masalah pada thermostat, mengakibatkan ketidakstabilan suhu dalam beberapa minggu terakhir. Saya mencari teknisi elektronik yang memiliki keahlian dalam memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang dibutuhkan.",Servis Kulkas
"Smart TV saya mengalami kerusakan sejak beberapa hari yang lalu. Terdapat beberapa gejala seperti layar tiba-tiba mati padahal belum selesai diputar, tidak bisa menerima sinyal gambar, serta terkadang dapat menyala namun berwarna abu-abu. Saya membutuhkan teknisi elektronik handal yang bisa memperbaiki masalah ini.",Servis Televisi
"Kami membutuhkan teknisi komputer yang berpengalaman untuk memberikan pelayanan service perangkat keras dengan tingkat keakuratan tinggi. Jika Anda memiliki pengetahuan tentang perbaikan CPU, GPU, dan hard drive, ini adalah kesempatan yang tepat untuk Anda.",Service Perangkat keras
"Perusahaan kami mencari teknisi komputer yang terampil untuk memberikan layanan service perangkat keras yang berkualitas. Jika Anda memiliki pengalaman dalam penggantian komponen dan pemeliharaan perangkat keras, kami mengundang Anda untuk melamar posisi ini.",Service Perangkat keras
"Lowongan teknisi komputer kami mengutamakan kandidat yang dapat merancang dan mengimplementasikan kebijakan keamanan yang efektif, mencakup akses pengguna, firewall, dan kontrol akses jaringan.",Service Keamanan
"Lowongan pekerjaan untuk tukang kayu berpengalaman yang mahir dalam menciptakan furnitur kustom sesuai desain, dengan pengalaman lebih dari 5 tahun dan sertifikasi diutamakan.",Tukang Kayu
